date,value
2023/3/10,0.681
2023/3/9,0.6888
2023/3/8,0.6923
2023/3/7,0.6961
2023/3/6,0.7076
2023/3/3,0.7059
2023/3/2,0.7051
2023/3/1,0.7135
2023/2/28,0.7007
2023/2/27,0.7009
2023/2/24,0.7002
2023/2/23,0.7103
2023/2/22,0.7096
2023/2/21,0.7141
2023/2/20,0.7201
2023/2/17,0.7115
2023/2/16,0.7254
2023/2/15,0.7257
2023/2/14,0.7312
2023/2/13,0.7356
2023/2/10,0.727
2023/2/9,0.7367
2023/2/8,0.7261
2023/2/7,0.7295
2023/2/6,0.7309
2023/2/3,0.7429
2023/2/2,0.7485
2023/2/1,0.7533
2023/1/31,0.7457
2023/1/30,0.755
2023/1/20,0.7475
2023/1/19,0.74
2023/1/18,0.7359
2023/1/17,0.7342
2023/1/16,0.7343
2023/1/13,0.7267
2023/1/12,0.7212
2023/1/11,0.7215
2023/1/10,0.7238
2023/1/9,0.7205
2023/1/6,0.7151
2023/1/5,0.7129
2023/1/4,0.6941
2023/1/3,0.694
2022/12/31,0.6871
2022/12/30,0.6871
2022/12/29,0.6889
2022/12/28,0.6884
2022/12/27,0.6891
2022/12/26,0.6835
2022/12/23,0.678
2022/12/22,0.6793
2022/12/21,0.6728
2022/12/20,0.6738
2022/12/19,0.6861
2022/12/16,0.69
2022/12/15,0.6925
2022/12/14,0.6918
2022/12/13,0.6896
2022/12/12,0.6927
2022/12/9,0.7023
2022/12/8,0.6935
2022/12/7,0.6882
2022/12/6,0.6904
2022/12/5,0.6882
2022/12/2,0.6836
2022/12/1,0.6863
2022/11/30,0.6757
2022/11/29,0.6729
2022/11/28,0.6529
2022/11/25,0.656
2022/11/24,0.6614
2022/11/23,0.6641
2022/11/22,0.6644
2022/11/21,0.676
2022/11/18,0.6813
2022/11/17,0.6806
2022/11/16,0.6874
2022/11/15,0.6948
2022/11/14,0.6782
2022/11/11,0.684
2022/11/10,0.6603
2022/11/9,0.6689
2022/11/8,0.678
2022/11/7,0.684
2022/11/4,0.6827
2022/11/3,0.6554
2022/11/2,0.6642
2022/11/1,0.6522
2022/10/31,0.6237
2022/10/28,0.6283
2022/10/27,0.6471
2022/10/26,0.6539
2022/10/25,0.6482
2022/10/24,0.6452
2022/10/21,0.6728
2022/10/20,0.6763
2022/10/19,0.6861
2022/10/18,0.7012
2022/10/17,0.6969
2022/10/14,0.699
2022/10/13,0.6826
2022/10/12,0.689
2022/10/11,0.6797
2022/10/10,0.6816
2022/9/30,0.6981
2022/9/29,0.7086
2022/9/28,0.7073
2022/9/27,0.7245
2022/9/26,0.713
2022/9/23,0.702
2022/9/22,0.709
2022/9/21,0.7157
2022/9/20,0.7253
2022/9/19,0.717
2022/9/16,0.7177
2022/9/15,0.7317
2022/9/14,0.7413
2022/9/13,0.7503
2022/9/9,0.7504
2022/9/8,0.7384
2022/9/7,0.7465
2022/9/6,0.7444
2022/9/5,0.7381
2022/9/2,0.7438
2022/9/1,0.7477
2022/8/31,0.7602
2022/8/30,0.7648
2022/8/29,0.7691
2022/8/26,0.7722
2022/8/25,0.771
2022/8/24,0.7654
2022/8/23,0.7833
2022/8/22,0.7861
2022/8/19,0.7797
2022/8/18,0.7856
2022/8/17,0.7921
2022/8/16,0.7816
2022/8/15,0.7876
2022/8/12,0.7844
2022/8/11,0.7813
2022/8/10,0.7665
2022/8/9,0.778
2022/8/8,0.7741
2022/8/5,0.7783
2022/8/4,0.7719
2022/8/3,0.7653
2022/8/2,0.7746
2022/8/1,0.7867
2022/7/29,0.7757
2022/7/28,0.79
2022/7/27,0.792
2022/7/26,0.7958
2022/7/25,0.787
2022/7/22,0.7917
2022/7/21,0.7906
2022/7/20,0.8001
2022/7/19,0.7956
2022/7/18,0.8013
2022/7/15,0.7949
2022/7/14,0.806
2022/7/13,0.7984
2022/7/12,0.7931
2022/7/11,0.8009
2022/7/8,0.8197
2022/7/7,0.8253
2022/7/6,0.8207
2022/7/5,0.8289
2022/7/4,0.8325
2022/7/1,0.8318
2022/6/30,0.8362
2022/6/29,0.823
2022/6/28,0.8364
2022/6/27,0.8293
2022/6/24,0.8186
2022/6/23,0.8034
2022/6/22,0.7897
2022/6/21,0.8016
2022/6/20,0.8026
2022/6/17,0.7921
2022/6/16,0.779
2022/6/15,0.7795
2022/6/14,0.77
2022/6/13,0.7705
2022/6/10,0.7863
2022/6/9,0.7744
2022/6/8,0.7881
2022/6/7,0.7774
2022/6/6,0.7773
2022/6/2,0.7555
2022/6/1,0.7518
2022/5/31,0.752
2022/5/30,0.7375
2022/5/27,0.7274
2022/5/26,0.7249
2022/5/25,0.7254
2022/5/24,0.7241
2022/5/23,0.7443
2022/5/20,0.7531
2022/5/19,0.7408
2022/5/18,0.7403
2022/5/17,0.7422
2022/5/16,0.7238
2022/5/13,0.729
2022/5/12,0.7202
2022/5/11,0.7229
2022/5/10,0.7069
2022/5/9,0.6973
2022/5/6,0.7015
2022/5/5,0.7217
2022/4/29,0.729
2022/4/28,0.7024
2022/4/27,0.6948
2022/4/26,0.6704
2022/4/25,0.6691
2022/4/22,0.7041
2022/4/21,0.7033
2022/4/20,0.7187
2022/4/19,0.7319
2022/4/18,0.7423
2022/4/15,0.7396
2022/4/14,0.7404
2022/4/13,0.7279
2022/4/12,0.7353
2022/4/11,0.7229
2022/4/8,0.7513
2022/4/7,0.7534
2022/4/6,0.7641
2022/4/1,0.7733
2022/3/31,0.7658
2022/3/30,0.777
2022/3/29,0.7548
2022/3/28,0.7542
2022/3/25,0.7574
2022/3/24,0.7755
2022/3/23,0.7856
2022/3/22,0.7794
2022/3/21,0.7803
2022/3/18,0.7775
2022/3/17,0.7812
